experiment;startinf;startsup;endinf;endsup;duration
historical;1960-01-01;1961-12-31;2014-06-30;2015-01-01;55
exp01;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
exp02;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
exp03;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
exp04;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
exp05;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
exp06;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
exp07;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
exp08;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
exp09;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
exp10;2015-01-01;2016-01-02;2300-06-30;2301-01-01;286
ctrl;1979-06-30;1980-01-01;2100-06-30;2101-01-01;120
ctrl_proj;2015-01-01;2016-01-02;2300-07-01;2301-01-01;286
